State,Annual average
TX,255508.33
TN,154616.67
TX,186650
PA,135850
FL,225908.33
TX,146458.33
GA,166208.33
NC,173466.67
CA,480050
CA,750950
NM,181916.67
TN,187116.67
MD,696008.33
CT,182433.33
MO,234058.33
CA,575141.67
AZ,219225
NV,202158.33
MA,443525
GA,256508.33
NY,744333.33
NY,507266.67
CA,326566.67
CA,327933.33
SC,215966.67
NC,424866.67
TN,234075
ID,186158.33
OK,187108.33
CA,924800
CA,868816.67
NY,926416.67
FL,371266.67
MD,245741.67
MT,263583.33
MN,271525
TN,597658.33
TX,214550
OR,339258.33
WA,221850
CA,1051700
IL,251608.33
NV,304983.33
KY,158141.67
TX,208891.67
IL,269341.67
NV,314983.33
HI,669325
CA,334100
NY,1592608.33
TX,205316.67
NC,194125
PA,404283.33
TX,207558.33
TN,135266.67
TX,286500
VA,343958.33
OH,128408.33
CA,2417441.67
OH,151525
NC,362983.33
GA,128308.33
FL,381591.67
TX,96108.33
TX,223750
OH,136750
KS,116466.67
LA,128500
AZ,231666.67
CA,434258.33
GA,232500
IN,131158.33
NV,257358.33
CA,1047691.67
FL,357200
NY,171075
NY,138500
FL,237833.33
KY,171591.67
CA,889216.67
MD,603433.33
NC,160791.67
TX,321250
WI,220625
VA,300041.67
TX,238025
ID,288858.33
GA,212691.67
WA,465283.33
UT,233166.67
FL,139133.33
FL,342183.33
CA,1170691.67
CA,909358.33
MI,175100
NJ,163000
CA,460766.67
WI,298016.67
CA,1057841.67
TX,202183.33
MS,189941.67
NJ,413375
AZ,388308.33
TX,455366.67
FL,239275
NY,8953991.67
PA,214350
CA,1280291.67
NJ,300433.33
CA,553516.67
FL,213275
NC,127250
CA,2216458.33
MA,719500
PA,100750
MD,429000
TX,154625
FL,839658.33
FL,290991.67
OK,207375
MA,161308.33
TX,261500
TX,414508.33
MA,424441.67
NJ,336275
OR,383891.67
VA,263933.33
CT,201775
AZ,745475
CA,1439325
WI,152741.67
CA,1822716.67
CA,433233.33
DE,221958.33
GA,421258.33
NY,943575
WA,700058.33
TX,409258.33
OH,255850
FL,355008.33
CO,541458.33
HI,1050183.33
NV,274916.67
TX,250525
SC,179608.33
MT,219558.33
FL,367700
CA,437733.33
MA,297591.67
MO,180275
TX,202175
VA,363783.33
SC,206150
FL,109975
TX,207550
VA,989908.33
GA,375491.67
CA,674091.67
IL,362016.67
AZ,204850
NY,411508.33
PA,237066.67
NC,166933.33
ID,266641.67
NJ,352941.67
CO,313608.33
MI,98600
DE,276516.67
CA,779566.67
MS,196383.33
NJ,451950
CA,748866.67
CA,1871741.67
CA,472483.33
PA,402958.33
CA,483341.67
GA,156558.33
GA,217800
OH,286458.33
AR,171366.67
FL,178458.33
LA,186975
VA,353541.67
TX,345341.67
FL,252566.67
TX,125800
OH,118708.33
NC,180050
CA,790125
VA,285733.33
FL,202166.67
VA,257758.33
CA,587700
CA,619500
OR,300416.67
NC,225650
FL,236891.67
TX,84425
SC,149816.67
FL,163591.67
NY,426916.67
NC,200683.33
CA,498958.33
CA,1024483.33
CA,353833.33
AZ,178508.33
WA,410250
NJ,324850
UT,253441.67
